,text
altered/persistent depressed mental status,1
dehydration,1
low rr,1
atelectasis,1
rr went down to 8,1
morbilloform drug rash,1
lfts,1
stridor,1
neurotoxicity,1
toxic-metabolic encephalopathy,1
bilateral pleural effusion,1
creatinine wa elevated,1
creatinine bumped,1
pauci-immune glomerulonephritis,1
p-anca positive glomerulonephritis,1
end-stage kidney disease,1
hyperparathyroidism with hypercalcemia,1
end-stage renal disease,1
high inr,1
nodule,1
shaking chill,1
lower gi bleeding,1
hematuria,1
`` wheezy,1
increased inr,1
upper body pruritic rash,1
withdrawl,1
diahrrea,1
oversedated,1
sedated her profoundly,1
`` urate crystal '',1
profound sedation,1
somlenence,1
anterior neck swelling,1
aphthous ulcer,1
tongue/neck swelling/allergy,1
tongue and anterior neck swelling,1
prolonged ptt,1
gi bleeds,1
low blood count,1
marrow toxicity,1
diffuse erythematous rash,1
topical,1
junctional bradycardia,1
metabolic alkalosis,1
atrial fibrillation,1
diabetes insipidus,1
neuropathy,1
neutropenic colitis,1
increased confusion,1
supratherapeutic ptt,1
combatative,1
developed a fever,1
liver injury,1
hcv,1
liver failure,1
bm suppression,1
cholestatic drug induced liver injury,1
elevated bp,1
hypertension,1
liver problem,1
liver damage,1
inr wa 6.0,1
delerious,1
long qt,1
unresponsiveness,1
constipating,1
hive on neck,1
rash on chest,1
sob,1
pulmonary fibrosis,1
acute delerium,1
pruritis,1
facial erythema/edema,1
anaphylactic exposure,1
chill,1
leukocyutosis,1
drug rash,1
pancytopenic,1
odynophagia,1
mucositis,1
refusing to eat,1
ulceration in stomach and duodenum,1
intermittent hemoptysis,1
hemoptysis,1
blood streaked sputum,1
disoriented,1
intracranial hemorrhage,1
distal esophageal ulcer,1
ge ulcer,1
febrile,1
worsened his renal failure,1
glucose intolerance,1
inr is also elevated to 3.7,1
hyoglycemia,1
severe skin rash,1
sbp dropped to 80 systolic,1
drug hypersensitivity,1
stomach and small intestine ulcer,1
apneic,1
apnea,1
retain urine,1
urticarial rash,1
erosion in your stomach bled,1
may be causing increased eos,1
tongue swelling,1
hypoglycemic effect,1
lip swelling,1
hypersensitivity,1
rash on his arm,1
increased lfts,1
headache,1
palpitation,1
sweating,1
severe rash,1
resp failure,1
non-cardiogenic pulm edema,1
elevated liver function test,1
suppression of all three line in the bone marrow,1
inr elevated to 2.1,1
lower extremity paraparesis,1
vincristine toxic polyneuropathy,1
elevated creatinine,1
peripheral neuropathy,1
osteoporosis,1
upper bleed,1
nafld,1
infusion reaction,1
dm2,1
htn,1
hypotensive episode,1
bp wa 70/palp,1
acute on chronic renal failure,1
eps,1
acute kidney failure,1
bump in lfts,1
sleepy for several day,1
